symbol,LFC,FDR,ID
Bcam,0.070807833,1,ENSMUSG00000002980
Clptm1,0.067799962,0.998732214,ENSMUSG00000002981
Relb,-0.009032279,1,ENSMUSG00000002983
Tomm40,0.011577939,1,ENSMUSG00000002984
Apoe,-0.018287997,1,ENSMUSG00000002985
Hbp1,-0.021186833,1,ENSMUSG00000002996
Prkar2b,0.034216183,1,ENSMUSG00000002997
Cdkn1b,-0.124210663,0.830512621,ENSMUSG00000003031
Klf4,-0.038080786,1,ENSMUSG00000003032
Ap1m1,0.052988286,0.814213125,ENSMUSG00000003033
Rab8a,0.041810915,1,ENSMUSG00000003037
Hmgn2,-0.056523159,0.962907676,ENSMUSG00000003038
Fam32a,0.011056349,1,ENSMUSG00000003039
Elf3,-0.011074368,0.877347728,ENSMUSG00000003051
Stard3nl,0.15544813,0.418090283,ENSMUSG00000003062
Stk11,0.083070678,0.703103247,ENSMUSG00000003068
Efna2,0.042822872,0.799187319,ENSMUSG00000003070
Atp5d,0.009481956,1,ENSMUSG00000003072
Ppp5c,0.04134381,1,ENSMUSG00000003099
