symbol,LFC,FDR,ID
Trappc6a,0.283874702,0.638704183,ENSMUSG00000002043
Supt6,0.260107892,0.643999568,ENSMUSG00000002052
Spag5,-0.130682588,1,ENSMUSG00000002055
Foxn1,0.294364021,1,ENSMUSG00000002057
Unc119,-4.834477645,5.23E-11,ENSMUSG00000002058
Rab34,0.001063027,1,ENSMUSG00000002059
Sdf2,-0.816429801,0.00096382,ENSMUSG00000002064
Ccne1,1.186173513,0.078965279,ENSMUSG00000002068
Hsf2bp,-6.144135607,2.92E-06,ENSMUSG00000002076
Bbc3,1.046021231,0.147940479,ENSMUSG00000002083
Psmc3,-0.087101611,0.881924726,ENSMUSG00000002102
Acp2,-0.398002842,0.344149141,ENSMUSG00000002103
Rapsn,2.609639458,6.05E-08,ENSMUSG00000002104
Slc39a13,0.677503007,0.354774615,ENSMUSG00000002105
Celf2,-0.57630718,0.226088603,ENSMUSG00000002107
Nr1h3,0.337707095,0.721688127,ENSMUSG00000002108
Ddb2,-0.432312458,0.416386806,ENSMUSG00000002109
Spi1,0.050812465,0.962949878,ENSMUSG00000002111
Sf3a1,-0.174275071,0.816871974,ENSMUSG00000002129
Stat6,-0.349425023,0.542097938,ENSMUSG00000002147
Clgn,1.665371293,4.11E-05,ENSMUSG00000002190
Napsa,0.472529811,0.745952517,ENSMUSG00000002204
Vrk3,1.22447921,0.006715422,ENSMUSG00000002205
Smg9,-0.344883419,0.673709318,ENSMUSG00000002210
Paxip1,-0.840191373,0.255405432,ENSMUSG00000002221
Rmnd5a,0.90620573,0.194496565,ENSMUSG00000002222
Mov10,-0.462913437,0.595360021,ENSMUSG00000002227
Ppm1j,7.483548438,9.27E-24,ENSMUSG00000002228
Rhoc,0.156320757,0.823372378,ENSMUSG00000002233
Tead3,3.591668134,0.002981759,ENSMUSG00000002249
Ppard,-0.708850442,0.363335284,ENSMUSG00000002250
Def6,1.192754691,0.035601412,ENSMUSG00000002257
Peg3,0.432346677,0.5403252,ENSMUSG00000002265
Zim1,-0.279427179,1,ENSMUSG00000002266
Metrn,-0.266281167,0.775044631,ENSMUSG00000002274
Lmf1,0.615245994,0.372241137,ENSMUSG00000002279
Ciao3,0.237868041,0.779190939,ENSMUSG00000002280
Angptl4,-0.03500968,1,ENSMUSG00000002289
Dbf4,-0.035077963,0.96345166,ENSMUSG00000002297
Daxx,-0.079802636,0.968539682,ENSMUSG00000002307
Cd320,-0.300106981,0.60288199,ENSMUSG00000002308
Ipo4,1.673536078,0.012740828,ENSMUSG00000002319
Tm9sf1,-0.315571803,0.720207244,ENSMUSG00000002320
Rec8,0.751635346,0.516175225,ENSMUSG00000002324
Irf9,-0.750044273,0.053164669,ENSMUSG00000002325
Gmpr2,0.384032218,0.490029075,ENSMUSG00000002326
Mdp1,-0.821958651,0.04175081,ENSMUSG00000002329
Dhrs1,0.447086456,0.423482233,ENSMUSG00000002332
Ncan,0.625821992,0.358099822,ENSMUSG00000002341
Tmem161a,-0.744470039,0.284595156,ENSMUSG00000002342
Armc6,-0.071225379,0.934673777,ENSMUSG00000002343
Borcs8,0.346117982,0.58172079,ENSMUSG00000002345
Slc25a42,-3.678560085,2.62E-05,ENSMUSG00000002346
Snx9,-0.628280217,0.263176614,ENSMUSG00000002365
Ranbp3,-1.710844706,0.00065943,ENSMUSG00000002372
Ndufa11,-0.258323871,0.534494542,ENSMUSG00000002379
Bmp8b,-0.39017035,0.217417716,ENSMUSG00000002384
Nr2f6,-0.579324266,0.431719628,ENSMUSG00000002393
Use1,0.346527258,0.385435123,ENSMUSG00000002395
Ocel1,-0.813701958,0.166226477,ENSMUSG00000002396
Dyrk1b,0.442923357,0.635653064,ENSMUSG00000002409
Braf,-0.530667264,0.295609278,ENSMUSG00000002413
Ndufb2,-0.239795021,0.336381583,ENSMUSG00000002416
Hltf,-0.580992163,0.210281036,ENSMUSG00000002428
Prpf6,0.268769786,0.634810232,ENSMUSG00000002455
Rgs19,0.652775384,0.168826621,ENSMUSG00000002458
Rgs20,0.521028297,0.606929813,ENSMUSG00000002459
Abhd3,0.530032097,0.492565171,ENSMUSG00000002475
