symbol,LFC,FDR,ID
Ergic1,0.028110401,0.80274009,ENSMUSG00000001576
Tnk1,-0.263542763,0.689203035,ENSMUSG00000001583
Acap1,-1.367738601,0.182314523,ENSMUSG00000001588
Tcea3,0.10332841,1,ENSMUSG00000001604
Ifrd1,0.108668507,0.735160901,ENSMUSG00000001627
Stk38l,0.650385586,0.043636001,ENSMUSG00000001630
Brpf1,-0.608637357,0.37742585,ENSMUSG00000001632
Akr1b3,-0.479385851,0.181539222,ENSMUSG00000001642
Hoxc11,-0.023222203,1,ENSMUSG00000001656
Hoxc8,-1.780902838,0.014013751,ENSMUSG00000001657
Hoxc6,-0.683780293,0.305584779,ENSMUSG00000001661
Gstt1,-0.025193566,0.804401306,ENSMUSG00000001663
Gstt3,-0.065128097,1,ENSMUSG00000001665
Ddt,0.207890836,0.540432307,ENSMUSG00000001666
Tat,0.018587556,1,ENSMUSG00000001670
Marveld3,-0.011399848,1,ENSMUSG00000001672
Ddx18,-0.410526987,0.365726533,ENSMUSG00000001674
Ubl3,-0.218442981,0.67088886,ENSMUSG00000001687
Gramd3,-0.412391249,0.44623928,ENSMUSG00000001700
Eef1e1,0.315485751,0.473481966,ENSMUSG00000001707
Akt1,0.182394091,0.642837167,ENSMUSG00000001729
Cldn15,-0.123138009,1,ENSMUSG00000001739
Il16,0.363342662,0.78435256,ENSMUSG00000001741
Tcirg1,-0.163686719,0.918787693,ENSMUSG00000001750
Naglu,-0.466522858,0.501455485,ENSMUSG00000001751
Coasy,1.214784304,0.046347153,ENSMUSG00000001755
Smo,0.189789819,1,ENSMUSG00000001761
Tspan33,0.133585428,1,ENSMUSG00000001763
Crnkl1,-0.396034213,0.566381755,ENSMUSG00000001767
Rin2,-0.550479124,0.42295697,ENSMUSG00000001768
Folh1,0.384255537,0.639834164,ENSMUSG00000001773
Chordc1,0.001324301,0.827236146,ENSMUSG00000001774
Rtcb,-0.082199973,0.845505322,ENSMUSG00000001783
Pwp1,-1.261979082,0.017914257,ENSMUSG00000001785
Fbxo7,-0.488943565,0.292246307,ENSMUSG00000001786
Capns1,0.246154168,0.668487776,ENSMUSG00000001794
Lrp3,3.770347652,3.60E-09,ENSMUSG00000001802
Evx2,0.069122812,1,ENSMUSG00000001815
Hoxd13,-0.086166498,1,ENSMUSG00000001819
Folr1,0.454986712,0.570861421,ENSMUSG00000001827
Clpb,-0.413695402,0.400108161,ENSMUSG00000001829
Septin7,-0.019215407,1,ENSMUSG00000001833
Zdhhc4,-0.208011704,0.623701251,ENSMUSG00000001844
Rac1,-0.015972698,1,ENSMUSG00000001847
Nup214,0.771607486,0.187450894,ENSMUSG00000001855
Aif1l,0.009432882,1,ENSMUSG00000001864
Cpa3,-0.008699165,1,ENSMUSG00000001865
Ltbp1,0.210126305,0.776400332,ENSMUSG00000001870
Ugp2,0.524255253,0.389393662,ENSMUSG00000001891
