symbol,LFC,FDR,ID
Spi1,-0.003478428,1,ENSMUSG00000002111
Sf3a1,0.002930335,1,ENSMUSG00000002129
Stat6,-0.012278744,1,ENSMUSG00000002147
Clgn,-0.050897531,0.688580095,ENSMUSG00000002190
Napsa,0.004743994,1,ENSMUSG00000002204
Vrk3,0.004489594,1,ENSMUSG00000002205
Smg9,2.23E-05,1,ENSMUSG00000002210
Paxip1,0.005200445,1,ENSMUSG00000002221
Rmnd5a,0.003836673,1,ENSMUSG00000002222
Mov10,-0.007693613,1,ENSMUSG00000002227
Ppm1j,0.000763387,1,ENSMUSG00000002228
Rhoc,1.569610931,0.000347677,ENSMUSG00000002233
Tead3,0.006823588,1,ENSMUSG00000002249
Ppard,0.008175034,1,ENSMUSG00000002250
Def6,-0.010604,1,ENSMUSG00000002257
Peg3,-0.024609885,0.980792732,ENSMUSG00000002265
Zim1,0.000573625,1,ENSMUSG00000002266
Metrn,-0.004679035,1,ENSMUSG00000002274
Lmf1,-0.007941402,1,ENSMUSG00000002279
Ciao3,-0.006213608,1,ENSMUSG00000002280
Angptl4,0.000945277,1,ENSMUSG00000002289
Dbf4,0.003433052,1,ENSMUSG00000002297
Daxx,0.000311241,1,ENSMUSG00000002307
Cd320,-0.00161727,1,ENSMUSG00000002308
Ipo4,0.006137791,1,ENSMUSG00000002319
Tm9sf1,-0.009704239,1,ENSMUSG00000002320
Rec8,-0.00132948,1,ENSMUSG00000002324
Irf9,-0.005129508,1,ENSMUSG00000002325
Gmpr2,-0.0029266,1,ENSMUSG00000002326
Mdp1,-0.007943811,1,ENSMUSG00000002329
Dhrs1,0.02593643,0.91739207,ENSMUSG00000002332
Ncan,0.025526165,0.423521613,ENSMUSG00000002341
Tmem161a,-0.000723466,1,ENSMUSG00000002342
Armc6,-0.007605826,1,ENSMUSG00000002343
Borcs8,-0.007803991,1,ENSMUSG00000002345
Slc25a42,-0.000636253,1,ENSMUSG00000002346
Snx9,-0.030452867,0.904915368,ENSMUSG00000002365
Ranbp3,-0.000146884,1,ENSMUSG00000002372
Ndufa11,-0.02441789,1,ENSMUSG00000002379
Bmp8b,-0.003766725,1,ENSMUSG00000002384
Nr2f6,0.000188066,1,ENSMUSG00000002393
Use1,-0.016705637,1,ENSMUSG00000002395
Ocel1,0.004941481,1,ENSMUSG00000002396
Dyrk1b,-0.000451676,1,ENSMUSG00000002409
Braf,-0.009099304,1,ENSMUSG00000002413
Ndufb2,-0.006061941,1,ENSMUSG00000002416
Hltf,0.002319137,1,ENSMUSG00000002428
Prpf6,0.010374995,1,ENSMUSG00000002455
Rgs19,0.012645489,1,ENSMUSG00000002458
Rgs20,0.027960988,0.021083699,ENSMUSG00000002459
Abhd3,0.000454106,1,ENSMUSG00000002475
Snrpd1,0.011671999,1,ENSMUSG00000002477
Tchp,0.006627903,1,ENSMUSG00000002486
Tiam1,-0.010631063,0.864046028,ENSMUSG00000002489
Tsc2,0.002437856,1,ENSMUSG00000002496
Rpl3l,0.001724525,1,ENSMUSG00000002500
Slc9a3r2,-0.025323362,1,ENSMUSG00000002504
Puf60,-0.022228133,1,ENSMUSG00000002524
Golga2,0.014748234,1,ENSMUSG00000002546
Uck1,-0.004920013,1,ENSMUSG00000002550
Scin,-0.00338836,1,ENSMUSG00000002565
Ikzf4,0.008777652,1,ENSMUSG00000002578
Mien1,0.004575283,1,ENSMUSG00000002580
Pon1,-0.00044241,1,ENSMUSG00000002588
