symbol,LCF,FDR,ID
Akr1b3,-0.015663184,1,ENSMUSG00000001642
Hoxc11,-0.069273693,0.04217678,ENSMUSG00000001656
Hoxc8,-0.142855346,0.549704194,ENSMUSG00000001657
Hoxc6,-0.115946306,1,ENSMUSG00000001661
Gstt1,-0.050580218,1,ENSMUSG00000001663
Gstt3,0.090848717,0.508922192,ENSMUSG00000001665
Ddt,0.383273383,0.787807549,ENSMUSG00000001666
Tat,-0.014289357,1,ENSMUSG00000001670
Marveld3,-0.116443621,0.539843993,ENSMUSG00000001672
Ddx18,0.063258906,1,ENSMUSG00000001674
Ubl3,-0.240783718,1,ENSMUSG00000001687
Gramd3,0.016403921,1,ENSMUSG00000001700
Eef1e1,0.125789737,1,ENSMUSG00000001707
Akt1,0.277336626,0.880930949,ENSMUSG00000001729
Cldn15,0.020020479,0.873672115,ENSMUSG00000001739
Il16,0.03218564,0.946255737,ENSMUSG00000001741
Tcirg1,-0.032447657,1,ENSMUSG00000001750
Naglu,0.105177513,1,ENSMUSG00000001751
Coasy,0.042450733,1,ENSMUSG00000001755
Smo,-0.036178012,0.823385248,ENSMUSG00000001761
Tspan33,-0.138896336,0.007147723,ENSMUSG00000001763
Crnkl1,-0.131643325,1,ENSMUSG00000001767
Rin2,-0.091431764,1,ENSMUSG00000001768
Folh1,0.044658148,1,ENSMUSG00000001773
Chordc1,0.053488404,1,ENSMUSG00000001774
Rtcb,0.001274642,1,ENSMUSG00000001783
Pwp1,-0.018100927,1,ENSMUSG00000001785
Fbxo7,0.113876491,1,ENSMUSG00000001786
Capns1,-0.014756402,1,ENSMUSG00000001794
Lrp3,-0.158447463,1,ENSMUSG00000001802
Evx2,0.011348765,1,ENSMUSG00000001815
Hoxd13,-0.051813866,1,ENSMUSG00000001819
Folr1,-0.00704143,0.911519635,ENSMUSG00000001827
Clpb,0.025901018,1,ENSMUSG00000001829
Septin7,-0.131048222,1,ENSMUSG00000001833
Zdhhc4,0.101510024,1,ENSMUSG00000001844
Rac1,-0.000537477,1,ENSMUSG00000001847
Nup214,0.08155737,1,ENSMUSG00000001855
Aif1l,0.154910748,0.215740804,ENSMUSG00000001864
Cpa3,-0.009847381,0.911883696,ENSMUSG00000001865
Ltbp1,4.997787118,5.12E-05,ENSMUSG00000001870
Ugp2,-0.061030585,1,ENSMUSG00000001891
Kcnh6,-0.140530156,1,ENSMUSG00000001901
Trmt1,0.017957486,1,ENSMUSG00000001909
Nacc1,-0.10084465,1,ENSMUSG00000001910
Nfix,0.64323789,0.494415978,ENSMUSG00000001911
Slc1a5,-0.049495215,1,ENSMUSG00000001918
Uba1,-0.200123004,1,ENSMUSG00000001924
Vwf,1.876734077,0.05821688,ENSMUSG00000001930
Siae,-0.045502971,1,ENSMUSG00000001942
Vsig2,4.837025284,0.005304533,ENSMUSG00000001943
Esam,0.236665516,0.00113404,ENSMUSG00000001946
Spa17,-0.080386171,1,ENSMUSG00000001948
Fam50a,-0.07464803,1,ENSMUSG00000001962
Emd,0.348647252,0.772182995,ENSMUSG00000001964
Taco1,0.259964284,0.752728956,ENSMUSG00000001983
Grik3,-0.013499265,1,ENSMUSG00000001985
Gria3,0.003184562,1,ENSMUSG00000001986
Npas1,-0.155251513,0.11919653,ENSMUSG00000001988
Sipa1l2,0.084350959,0.889262717,ENSMUSG00000001995
Ap4e1,0.232009407,0.634674754,ENSMUSG00000001998
Blvra,0.01669714,1,ENSMUSG00000001999
Pdzd4,-0.376602597,0.63072909,ENSMUSG00000002006
Srpk3,0.032717384,0.870989769,ENSMUSG00000002007
Idh3g,-0.111538754,1,ENSMUSG00000002010
Pnck,-0.037528501,1,ENSMUSG00000002012
Ssr4,0.045234598,1,ENSMUSG00000002014
Bcap31,-0.033017714,1,ENSMUSG00000002015
Fam98a,0.086001504,1,ENSMUSG00000002017
Ltbp2,0.099886703,0.368660513,ENSMUSG00000002020
Kmt2a,-0.116815004,1,ENSMUSG00000002028
Ift46,-0.199888426,1,ENSMUSG00000002031
Tmem25,-0.197371766,1,ENSMUSG00000002032
Trappc6a,-0.192343596,1,ENSMUSG00000002043
Supt6,-0.314335971,0.870989769,ENSMUSG00000002052
Spag5,-0.106834864,0.350999833,ENSMUSG00000002055
Foxn1,-0.038095335,1,ENSMUSG00000002057
Unc119,-0.238429417,0.543915024,ENSMUSG00000002058
Rab34,0.311891005,0.486688023,ENSMUSG00000002059
Sdf2,-0.151515378,1,ENSMUSG00000002064
Ccne1,-0.188622487,0.795112557,ENSMUSG00000002068
Hsf2bp,-0.073938564,0.457548014,ENSMUSG00000002076
Bbc3,-0.131320421,0.487062268,ENSMUSG00000002083
Psmc3,0.072140683,1,ENSMUSG00000002102
Acp2,-0.137097635,1,ENSMUSG00000002103
Rapsn,-0.054384833,1,ENSMUSG00000002104
Slc39a13,0.015152621,1,ENSMUSG00000002105
Celf2,0.003181139,1,ENSMUSG00000002107
Nr1h3,-0.057662522,0.898524026,ENSMUSG00000002108
Ddb2,-0.085090263,1,ENSMUSG00000002109
Spi1,-0.079069207,0.90934516,ENSMUSG00000002111
Sf3a1,0.035309215,1,ENSMUSG00000002129
Stat6,-0.065451986,1,ENSMUSG00000002147
Clgn,-0.05978134,1,ENSMUSG00000002190
Napsa,-0.159546005,0.292548478,ENSMUSG00000002204
Vrk3,0.18309058,1,ENSMUSG00000002205
Smg9,0.093192321,1,ENSMUSG00000002210
Paxip1,-0.002601704,1,ENSMUSG00000002221
Rmnd5a,0.035925362,1,ENSMUSG00000002222
Mov10,-0.041534086,0.916186478,ENSMUSG00000002227
Ppm1j,-0.29951111,0.56853339,ENSMUSG00000002228
Rhoc,1.028770324,0.106290475,ENSMUSG00000002233
Tead3,0.064039439,0.673066359,ENSMUSG00000002249
Ppard,-0.005789296,1,ENSMUSG00000002250
Def6,-0.195346179,0.96061134,ENSMUSG00000002257
Peg3,0.121059107,1,ENSMUSG00000002265
Zim1,-0.032991716,0.762110249,ENSMUSG00000002266
Metrn,-0.040450646,1,ENSMUSG00000002274
Lmf1,-0.249701389,0.56267058,ENSMUSG00000002279
Ciao3,-0.017888608,1,ENSMUSG00000002280
